from,to,date,rating
p139,ml,26_01_25,1
p139,fn,26_01_25,1
ml,fn,26_01_25,1
p140,gp,26_01_25,2
p140,col,26_01_25,2
p140,t,26_01_25,3
p140,nas,26_01_25,3
p140,cm,26_01_25,3
col,t,26_01_25,2
p141,sh,26_01_25,1
p142,ml,27_01_25,1
p143,kp,27_01_25,1
p143,jj,27_01_25,1
p143,ml,27_01_25,1
kp,ml,27_01_25,1
jj,ml,27_01_25,1
p143,mc,27_01_25,3
p143,fball,27_01_25,3
p144,ml,27_01_25,1
p145,kcc,27_01_25,1
p145,bb,27_01_25,1
p145,fball,27_01_25,3
p146,af,27_01_25,3
p147,ec,27_01_25,3
p147,hist,27_01_25,3
p147,af,27_01_25,3
p148,nv,28_01_25,1
p148,mmc,28_01_25,1
p148,jl,28_01_25,1
p148,nvgop,28_01_25,1
mmc,nvgop,28_01_25,1
jl,nvgop,28_01_25,1
p148,af,28_01_25,3
p148,hist,28_01_25,3
p149,usmil,28_01_25,1
p149,ca,28_01_25,1
p149,ep,28_01_25,2
usmil,ca,28_01_25,1
p150,ja,28_01_25,2
p150,cnn,28_01_25,2
ja,cnn,28_01_25,2
p150,mc,28_01_25,3
p150,fk,28_01_25,3
p150,pa,28_01_25,3
p151,af,28_01_25,3
p151,hist,28_01_25,3
p152,tn,28_01_25,1
p152,edu,28_01_25,3
p152,sch,28_01_25,3
p152,af,28_01_25,3
p153,hp,29_01_25,2
p153,gac,29_01_25,2
p153,c,29_01_25,3
p154,pan,29_01_25,2
p154,chn,29_01_25,2
p154,fp,29_01_25,3
pan,chn,29_01_25,2
p155,em,29_01_25,1
p155,spx,29_01_25,1
p155,ss,29_01_25,3
p155,jb,29_01_25,2
em,spx,29_01_25,1
spx,ss,29_01_25,1
p156,jf,29_01_25,1
p156,doj,29_01_25,1
p156,dp,29_01_25,2
p156,js,29_01_25,3
jf,doj,29_01_25,1
p156,af,29_01_25,3
p157,jpow,29_01_25,2
p157,fed,29_01_25,2
p157,usdot,29_01_25,1
p157,if,29_01_25,3
p157,ep,29_01_25,3
p157,ic,29_01_25,3
p157,ec,29_01_25,3
fed,if,29_01_25,2
usdot,ec,29_01_25,1
p158,boo,30_01_25,3
p158,af,30_01_25,3
p159,nas,30_01_25,3
p160,nas,30_01_25,3
p161,rna,30_01_25,3
p161,nas,30_01_25,3
p162,nas,30_01_25,3
p163,nas,30_01_25,3
p164,nas,30_01_25,3
p165,brics,31_01_25,2
p165,t,31_01_25,3
p165,ic,31_01_25,3
p165,ec,31_01_25,3
brics,t,31_01_25,2
p166,af,31_01_25,3
p167,nas,31_01_25,3
